,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,NoRidge,NridgHt,VinylSd,VinylSd.1,Stone.2,PConc
198,6,1912,1950,0,3,3,1,1,0,755,5,929,929,2229,1,3,8,0,0,0,0,0,0,0,198,0,0,0,0,0,0
199,8,2004,2005,262,4,5,3,6,1088,1713,5,1713,0,1713,2,5,7,1,4,5,3,3,856,0,26,0,1,1,1,0,1
200,4,2003,2004,0,3,4,1,1,0,1121,5,1121,0,1121,2,3,5,0,0,5,2,2,440,132,64,0,0,1,1,0,1
201,6,1977,1977,0,3,3,1,5,641,1196,3,1279,0,1279,2,3,6,2,2,1,1,2,473,238,83,0,0,0,0,0,0
202,6,1924,1950,0,3,2,1,2,617,617,4,865,445,1310,2,3,6,0,0,5,1,1,398,0,0,0,0,0,0,0,0
203,6,2004,2004,205,4,4,3,6,662,848,5,848,0,848,1,4,3,1,4,5,2,2,420,149,0,0,0,1,1,0,1
204,5,1947,1950,0,3,3,1,2,312,720,3,720,564,1284,1,3,5,0,0,1,1,1,240,0,35,0,0,0,0,0,0
205,7,1990,1990,0,3,4,1,1,0,1424,5,1442,0,1442,2,3,5,0,0,5,2,2,500,0,34,0,0,0,0,0,1
206,5,1962,1962,0,3,3,1,1,0,1140,3,1696,0,1696,1,3,8,1,3,5,2,1,349,0,30,0,0,0,0,0,0
207,4,1960,1960,0,3,3,1,5,419,1100,3,1100,0,1100,1,3,6,1,1,5,2,1,312,355,0,0,0,0,0,0,1
208,7,1988,1989,128,4,4,4,6,1065,1157,5,1180,882,2062,2,3,7,1,4,5,3,2,454,60,55,0,0,0,0,0,0
209,6,1964,1964,260,3,4,1,3,787,1092,5,1092,0,1092,1,3,6,0,0,5,2,2,504,0,0,0,0,0,0,1,0
210,5,1925,1950,0,3,3,1,3,468,864,3,864,0,864,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,6,2009,2009,0,3,4,2,6,36,1212,5,1212,0,1212,2,4,6,0,0,5,2,2,460,100,22,0,0,1,1,0,1
212,7,2009,2009,0,3,4,1,6,822,900,5,932,920,1852,2,4,7,1,3,5,2,2,644,168,108,0,0,1,1,0,1
213,5,1995,1995,0,3,4,1,5,716,990,5,990,0,990,1,3,5,0,0,5,1,2,576,224,0,0,0,1,1,0,1
214,6,1977,1977,153,3,4,1,6,378,689,5,689,703,1392,1,3,6,0,0,5,3,1,299,0,36,0,0,0,0,0,0
215,5,1957,1996,64,3,3,1,4,360,1070,3,1236,0,1236,1,4,6,1,2,5,1,1,447,0,0,0,0,0,0,0,0
216,7,2004,2004,266,4,4,2,6,946,1436,5,1436,0,1436,2,4,8,0,0,5,1,2,484,139,98,0,0,1,1,0,1
217,4,1925,1950,0,3,3,1,1,0,686,2,810,518,1328,1,3,8,0,0,1,1,1,210,0,172,0,0,0,0,0,0
218,7,1939,2006,312,4,3,1,4,341,798,5,1137,817,1954,1,4,8,2,3,5,1,2,431,0,119,0,0,1,1,0,0
219,7,2005,2006,16,4,4,3,6,16,1248,5,1248,0,1248,2,4,5,0,0,5,3,2,438,108,0,0,0,1,1,0,1
220,7,2006,2006,0,4,4,2,1,0,1498,5,1498,0,1498,2,4,5,0,0,5,2,2,675,351,33,0,0,1,1,0,1
221,6,2002,2002,0,4,4,1,1,0,1010,5,1010,1257,2267,2,4,8,1,3,3,2,2,390,120,46,0,0,1,1,0,1
222,6,1975,1975,0,3,4,1,5,550,713,3,811,741,1552,2,3,6,1,3,5,2,2,434,209,208,0,0,1,1,0,0
223,4,1971,1971,0,3,3,1,5,524,864,4,864,0,864,1,3,4,0,0,1,1,2,576,216,0,0,0,0,0,0,0
224,10,2003,2003,922,5,5,4,6,56,2392,5,2392,0,2392,2,5,8,1,5,5,3,3,968,248,105,0,1,1,1,0,1
225,5,1971,1971,142,3,3,1,1,0,630,3,630,672,1302,2,3,6,0,0,1,1,1,280,0,0,0,0,0,0,0,0
226,7,1995,1995,290,4,4,1,6,565,1203,5,1214,1306,2520,2,4,9,1,3,5,2,3,721,224,114,1,0,1,1,0,1
227,6,1970,1970,127,3,3,1,3,321,483,3,483,504,987,1,3,5,0,0,1,1,1,280,0,0,0,0,0,0,0,0
228,5,1967,1967,0,3,3,1,5,842,912,3,912,0,912,1,3,5,1,2,1,1,1,336,0,0,0,0,0,0,0,0
229,7,2005,2006,16,4,4,3,6,16,1373,5,1555,0,1555,2,4,7,1,3,5,3,2,430,143,20,0,0,1,1,0,1
230,6,1959,1959,220,3,3,1,1,0,1194,3,1194,0,1194,1,3,6,0,0,5,2,1,312,0,0,0,0,0,0,0,0
231,8,1995,1996,506,4,4,1,6,689,1462,5,1490,1304,2794,2,5,9,1,3,5,3,3,810,0,146,1,0,1,1,0,1
232,6,1972,1972,297,3,3,1,1,0,483,3,483,504,987,1,3,5,1,1,5,1,1,288,0,0,0,0,0,0,0,0
233,5,1976,1976,0,3,3,3,2,182,894,3,894,0,894,1,3,5,0,0,5,1,1,308,365,0,0,0,0,0,0,0
234,6,2002,2002,0,4,4,1,6,625,860,5,860,1100,1960,2,4,8,2,3,3,3,2,440,288,48,0,0,1,1,0,1
235,6,1971,1971,604,3,3,1,5,358,483,3,483,504,987,1,3,5,0,0,1,1,1,264,0,0,0,0,0,0,0,0
236,7,2004,2004,98,4,4,3,6,24,1414,5,1414,0,1414,2,4,6,0,0,5,2,2,494,132,105,0,0,1,1,0,1
237,7,1993,2003,0,4,4,1,4,402,996,5,1014,730,1744,2,4,7,0,0,5,2,2,457,370,70,0,0,0,0,0,1
238,8,2007,2007,254,5,5,1,1,0,1694,5,1694,0,1694,2,4,7,0,0,5,3,3,818,168,228,0,1,1,1,0,1
239,6,1945,1950,0,3,3,1,2,94,735,3,798,689,1487,1,3,7,1,4,1,1,1,220,0,140,0,0,1,1,0,0
240,8,2008,2008,36,4,4,3,6,1078,1566,5,1566,0,1566,2,4,7,0,0,5,2,2,750,144,168,0,0,1,1,1,1
241,5,1945,1997,0,3,3,1,5,329,686,4,866,0,866,1,4,4,0,0,0,0,0,0,58,42,0,0,1,1,0,0
242,5,1900,1950,0,3,3,1,1,0,540,4,889,551,1440,1,3,6,0,0,5,1,1,352,0,0,0,0,0,0,0,0
243,6,1980,1980,0,3,4,1,1,0,626,3,626,591,1217,1,3,6,1,3,5,2,1,288,0,28,0,0,0,0,0,0
244,7,1994,2002,0,4,4,1,6,695,948,5,1222,888,2110,2,4,8,2,2,5,2,2,463,0,130,0,0,1,1,0,1
245,7,1988,1988,102,3,4,3,6,929,1845,4,1872,0,1872,2,3,6,1,3,5,3,2,604,197,39,0,0,0,0,0,0
246,6,1910,1950,0,3,2,1,1,0,1020,4,908,1020,1928,2,2,9,0,0,1,1,1,440,0,60,0,0,0,0,0,0
247,6,1954,1954,0,3,3,1,1,0,1367,5,1375,0,1375,1,3,5,1,3,5,1,2,451,0,30,0,0,0,0,0,0
248,7,2003,2003,101,4,4,1,1,0,840,5,840,828,1668,2,4,8,0,0,5,2,2,500,144,68,0,0,1,1,0,1
249,6,1958,2006,472,4,4,4,3,697,1444,4,1444,700,2144,2,4,7,2,3,5,3,2,389,0,98,0,0,0,0,0,0
250,3,1940,1966,0,3,3,1,1,0,728,5,1306,0,1306,1,2,6,0,0,0,0,0,0,263,0,0,0,0,0,0,0
251,8,2006,2007,481,4,4,4,6,1573,1573,5,1625,0,1625,2,4,5,1,4,5,3,2,538,123,0,0,0,1,1,1,1
252,6,2004,2004,0,4,4,1,1,0,798,5,798,842,1640,2,4,6,0,0,5,2,2,520,138,45,0,0,1,1,0,1
253,6,1964,1991,108,3,4,4,2,270,1302,5,1302,0,1302,2,4,7,0,0,5,2,1,309,333,0,0,0,0,0,0,0
254,5,1957,1957,0,3,3,1,3,922,1314,3,1314,0,1314,1,3,5,0,0,5,2,1,294,250,0,0,0,0,0,0,0
255,7,1999,1999,302,4,4,1,1,0,975,5,1005,1286,2291,2,4,8,1,3,3,3,2,429,192,0,0,0,1,1,0,1
256,6,2003,2003,0,4,4,1,3,503,864,5,864,864,1728,2,4,7,0,0,5,2,2,673,216,56,0,0,1,1,0,1
257,7,2006,2006,180,4,4,1,6,1334,1604,5,1604,0,1604,2,4,8,1,4,5,2,2,660,123,110,0,0,1,1,1,1
258,7,2001,2001,172,4,4,1,6,361,963,5,963,829,1792,2,4,7,1,3,5,2,2,564,0,96,0,0,1,1,0,1
259,5,1956,1956,0,3,0,0,0,0,0,4,882,0,882,1,3,4,0,0,1,1,1,308,0,45,0,0,0,0,0,1
260,6,1962,1962,399,3,3,4,3,672,1362,3,1382,0,1382,1,3,6,1,3,5,1,2,884,0,0,0,0,0,0,0,0
261,8,2007,2007,270,4,5,1,1,0,1482,5,1482,1092,2574,2,5,10,1,4,3,3,3,868,0,148,0,0,0,0,1,1
262,6,1977,1995,46,3,4,3,5,506,506,3,1212,0,1212,1,3,6,1,3,5,1,2,492,292,12,0,0,0,0,0,0
263,5,1929,2001,0,3,3,1,2,234,926,3,926,0,1316,1,3,6,0,0,1,1,2,484,0,0,0,0,0,0,0,0
264,5,1925,2004,0,3,2,1,1,0,680,4,764,0,764,1,3,4,0,0,1,1,2,504,0,0,0,0,0,0,0,0
265,6,1981,1981,210,3,4,1,6,588,1422,3,1422,0,1422,2,4,7,1,3,5,3,2,576,276,0,0,0,0,0,0,0
266,6,1997,1997,0,3,4,3,6,714,802,4,802,709,1511,2,3,8,1,3,5,3,2,413,95,75,0,0,1,1,0,1
267,5,1939,1997,0,3,3,1,2,378,720,5,1052,720,2192,2,4,8,1,4,1,1,1,240,262,24,0,0,0,0,0,1
268,5,1940,1955,0,3,3,1,5,403,740,5,778,0,778,1,3,4,1,4,1,3,1,924,0,25,0,0,1,1,0,0
269,6,1976,1976,174,3,3,1,4,751,1143,3,1113,0,1113,1,3,6,1,2,5,2,1,504,370,30,0,0,0,0,0,0
270,8,2006,2006,0,4,4,2,1,0,1095,4,1095,844,1939,2,4,8,1,4,5,2,3,1053,192,51,0,0,1,1,0,1
271,7,1954,2005,0,3,4,4,2,226,1385,5,1363,0,1363,1,3,5,2,3,5,1,2,439,81,0,0,0,0,0,0,0
272,8,1999,2007,348,4,4,1,6,524,1152,5,1164,1106,2270,2,4,9,1,4,5,3,3,671,132,57,1,0,1,1,0,1
273,6,1958,1988,183,3,3,1,3,620,1240,4,1632,0,1632,2,3,6,1,4,5,2,1,338,289,0,0,0,0,0,0,0
274,5,1982,1982,0,3,3,4,5,546,816,3,816,0,816,1,3,5,0,0,5,1,1,264,168,0,0,0,0,0,0,0
275,7,1925,2007,0,4,3,1,1,0,952,4,952,596,1548,2,5,5,0,0,1,1,2,672,74,0,0,0,0,0,0,0
276,7,2003,2003,0,4,5,1,1,0,1560,5,1560,0,1560,2,4,7,0,0,5,3,2,573,100,150,0,0,1,1,0,1
277,4,1951,1951,0,3,3,1,2,120,864,5,864,0,864,1,3,4,0,0,1,1,2,400,0,0,0,0,1,1,0,0
278,9,2006,2007,315,5,5,4,1,0,2121,5,2121,0,2121,2,5,8,1,5,5,3,3,732,124,98,0,1,0,0,0,1
279,7,1977,1977,299,3,4,1,4,392,1160,5,1156,866,2022,2,3,8,1,3,5,3,2,505,288,117,0,0,0,0,0,0
280,7,1989,1989,340,4,4,3,6,421,807,4,1175,807,1982,2,4,7,1,3,5,3,2,575,0,84,0,0,0,0,0,0
281,6,2006,2006,68,4,4,1,6,905,1262,4,1262,0,1262,2,4,5,0,0,5,3,2,572,0,120,0,0,1,1,1,1
282,7,2007,2008,166,4,4,1,6,904,1314,5,1314,0,1314,2,4,6,1,4,5,2,2,626,172,62,0,1,1,1,1,1
283,8,2008,2009,72,4,4,1,1,0,1468,5,1468,0,1468,2,4,6,1,4,5,3,3,898,210,150,0,0,1,1,1,1
284,6,1992,1992,0,4,4,1,6,430,1575,4,1575,0,1575,2,4,5,0,0,5,2,2,529,0,0,0,0,0,0,0,1
285,7,2006,2007,0,4,4,1,1,0,625,5,625,625,1250,2,4,5,0,0,1,2,2,528,0,54,0,0,0,0,0,1
286,6,1962,1981,0,3,3,1,3,600,912,3,1085,649,1734,1,4,7,1,4,5,2,2,440,0,0,0,0,0,0,0,0
287,4,1971,1971,0,3,3,1,4,614,858,3,858,0,858,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,5,1967,1967,31,3,3,1,4,450,882,3,900,0,900,1,3,5,0,0,1,1,1,280,0,0,0,0,0,0,0,0
289,6,1915,2003,0,3,3,1,1,0,698,5,698,698,1396,1,3,7,0,0,1,1,1,384,0,0,0,0,0,0,0,0
290,8,2006,2006,0,4,4,3,1,0,1079,5,1079,840,1919,2,4,8,1,4,5,2,2,685,0,51,0,0,1,1,0,1
291,5,1912,2000,0,3,3,1,3,210,780,5,936,780,1716,2,2,9,0,0,0,0,0,0,0,184,0,0,1,1,0,1
292,5,1949,2008,0,3,3,1,2,292,768,4,1148,568,1716,1,3,8,1,4,5,1,1,281,0,0,0,0,0,0,0,0
293,7,1977,1994,34,3,3,1,5,795,795,2,1468,795,2263,2,4,9,1,3,5,3,2,539,0,250,0,0,0,0,0,0
294,6,1953,1953,238,3,3,1,6,1285,1416,3,1644,0,1644,1,3,7,2,4,5,3,2,418,110,0,0,0,0,0,1,0
295,6,1984,1984,0,3,3,3,6,819,1003,3,1003,0,1003,1,3,6,0,0,1,1,2,588,120,0,0,0,0,0,0,0
296,5,1950,1950,0,3,3,1,4,420,910,3,910,648,1558,1,3,6,0,0,5,1,1,282,289,0,0,0,0,0,0,0
297,7,1997,1998,1600,4,4,1,4,649,975,5,975,975,1950,2,4,7,1,3,1,2,2,576,0,10,0,0,1,1,0,1
298,6,1968,1968,365,4,3,1,5,384,702,4,1041,702,1743,1,3,7,1,4,5,1,2,539,224,0,0,0,0,0,0,0
299,6,1950,2004,0,3,3,1,1,0,1092,5,1152,0,1152,1,4,6,1,4,5,1,1,300,0,36,0,0,0,0,0,0
300,5,1953,1953,56,3,3,2,4,841,1165,3,1336,0,1336,1,3,5,2,4,5,1,1,375,0,0,0,0,0,0,0,0
301,8,1998,1999,0,4,4,1,6,281,1028,5,1210,1242,2452,2,4,9,1,3,3,3,2,683,208,50,0,0,1,1,0,1
302,7,2001,2002,150,4,4,1,1,0,1541,5,1541,0,1541,2,4,6,1,3,5,2,3,843,468,81,0,0,1,1,0,1
303,5,1972,1972,0,3,3,1,5,894,894,3,894,0,894,1,3,5,0,0,5,1,2,552,256,0,0,0,1,1,0,1
304,7,1880,2002,0,3,3,1,1,0,1470,5,1675,1818,3493,3,4,10,1,5,5,1,3,870,302,0,0,0,0,0,0,0
305,8,2004,2005,246,4,4,1,6,1464,2000,5,2000,0,2000,2,4,8,0,0,5,3,3,888,168,0,0,0,0,0,1,1
306,7,1990,1991,246,4,4,1,5,700,700,4,1122,1121,2243,2,4,8,1,3,5,2,3,746,127,44,0,0,0,0,0,0
307,6,1920,1950,0,3,3,1,1,0,319,3,1035,371,1406,1,2,6,0,0,0,0,0,0,0,144,0,0,0,0,0,0
308,4,1940,1950,0,3,3,1,4,262,861,5,861,0,861,1,3,4,0,0,1,1,2,539,158,0,0,0,1,1,0,0
309,9,2003,2004,0,4,5,4,6,1274,1896,5,1944,0,1944,2,5,8,3,5,5,3,3,708,208,175,0,1,1,1,0,1
310,6,1993,1994,112,3,4,1,5,518,697,4,697,804,1501,2,4,6,1,3,5,3,2,420,190,63,0,0,0,0,0,1
311,6,1948,2002,0,3,3,1,5,680,972,5,972,0,972,1,3,5,1,4,1,1,1,240,0,0,0,0,1,1,0,0
312,5,1939,1950,0,3,4,2,3,507,793,3,793,325,1118,1,3,5,1,4,1,1,2,410,0,0,0,0,0,0,0,0
313,7,1965,1965,0,3,4,4,5,1236,2136,3,2036,0,2036,2,3,8,2,4,5,2,2,513,0,0,0,0,0,0,0,0
314,7,1925,1990,0,3,3,1,2,16,728,5,832,809,1641,1,5,6,1,4,1,1,2,546,0,0,0,0,0,0,0,0
315,7,2004,2005,0,4,4,1,6,425,716,5,716,716,1432,2,4,6,1,4,5,3,2,432,100,51,0,0,1,1,0,1
316,7,1980,1980,278,4,4,1,6,692,845,3,1153,1200,2353,2,5,10,1,3,5,2,2,484,288,195,0,0,0,0,0,0
317,8,2006,2006,0,4,4,3,1,0,1088,5,1088,871,1959,2,4,8,1,4,5,2,3,1025,208,46,0,0,1,1,0,1
318,7,1993,1993,256,4,4,4,6,987,1347,5,1372,1274,2646,2,4,9,1,3,5,2,3,656,340,60,1,0,0,0,0,1
319,7,1980,1980,225,3,4,3,6,1036,1372,3,1472,0,1472,2,3,6,2,3,5,1,2,588,233,48,0,0,0,0,0,0
320,9,2006,2006,370,3,5,3,1,0,1249,5,1249,1347,2596,3,4,9,0,0,5,2,3,840,240,154,0,1,1,1,1,1
321,8,2004,2004,388,4,5,3,6,970,1136,5,1136,1332,2468,2,4,10,1,4,3,3,3,872,184,154,0,1,1,1,0,1
322,7,1986,1987,172,4,3,4,2,28,1502,5,1553,1177,2730,2,4,8,1,3,5,3,2,576,201,96,0,0,0,0,0,0
323,3,1955,2005,0,3,3,1,5,256,1162,5,1163,0,1163,1,3,6,0,0,5,1,1,220,142,98,0,0,1,1,0,0
324,7,1967,2007,300,4,4,1,1,0,710,5,1898,1080,2978,2,4,11,1,4,3,3,2,564,240,0,0,0,0,0,0,0
325,5,1941,1950,0,3,3,3,4,116,720,1,803,0,803,1,3,5,0,0,1,1,2,360,0,0,0,0,0,0,0,0
326,8,1993,1993,0,4,4,4,6,1619,1719,5,1719,0,1719,1,4,6,2,4,5,3,2,473,122,30,0,0,0,0,0,1
327,6,1960,1960,175,3,3,1,3,565,1383,3,1383,0,1383,1,3,7,0,0,5,2,1,292,0,45,0,0,0,0,0,0
328,6,1916,1994,0,3,3,1,1,0,844,4,1445,689,2134,2,4,10,0,0,1,1,2,441,0,60,0,0,0,0,0,0
329,5,1920,1950,0,3,3,2,1,0,596,3,596,596,1192,1,3,6,0,0,1,1,1,189,0,0,0,0,0,0,0,1
330,5,1964,1964,84,3,3,1,6,40,1728,3,1728,0,1728,2,3,10,0,0,1,1,1,352,155,0,0,0,0,0,0,0
331,5,1958,1992,0,3,3,1,3,846,1056,2,1056,0,1056,1,3,6,0,0,5,2,1,308,0,0,0,0,0,0,0,0
332,8,2003,2004,296,4,4,1,6,1124,3206,5,1629,0,1629,2,4,7,1,4,5,2,3,880,0,0,0,1,1,1,0,1
333,7,2004,2004,146,4,4,3,6,720,1358,5,1358,0,1358,2,4,6,1,4,5,2,2,484,192,30,0,1,1,1,1,1
334,6,1998,1998,0,3,4,4,6,828,943,4,943,695,1638,2,3,7,2,3,5,3,2,472,100,38,0,0,1,1,0,1
335,5,1965,1965,0,3,3,4,5,1249,1499,5,1619,167,1786,2,3,7,2,4,5,3,2,529,670,0,0,0,0,0,0,0
336,9,2005,2006,200,4,5,4,6,1249,1922,5,1922,0,1922,2,4,8,1,4,5,3,3,676,178,51,0,0,1,1,1,1
337,7,2002,2003,113,4,4,3,6,810,1536,5,1536,0,1536,2,4,7,0,0,5,2,2,532,192,74,0,0,1,1,0,1
338,7,1984,1998,0,4,4,2,5,213,1208,5,1621,0,1621,2,4,8,0,0,5,2,2,440,108,45,0,0,0,0,0,0
339,6,1958,1998,176,3,3,1,3,585,1215,3,1215,0,1215,1,3,6,0,0,5,1,1,297,0,0,0,0,0,0,0,0
340,8,2002,2002,0,4,4,1,1,0,967,5,993,915,1908,2,4,9,0,0,5,3,2,431,135,0,0,0,1,1,0,1
341,4,1950,1950,0,2,3,1,1,0,721,4,841,0,841,1,3,4,0,0,2,1,1,294,250,0,0,0,0,0,0,0
342,3,1949,1950,340,3,0,0,0,0,0,2,1040,0,1040,2,3,6,0,0,1,1,2,400,0,0,0,0,0,0,0,0
343,9,2005,2005,616,5,5,1,6,28,1684,5,1684,0,1684,2,5,6,1,5,5,2,2,564,495,72,0,1,0,0,0,1
344,5,1976,1976,0,3,4,1,3,129,536,3,536,576,1112,1,3,4,0,0,5,1,1,336,182,0,0,0,0,0,0,0
345,6,1939,1950,0,3,3,1,1,0,972,4,972,605,1577,1,2,6,1,4,1,1,1,312,0,0,0,0,0,0,0,0
346,6,1960,1998,0,3,3,2,4,498,958,3,958,0,958,1,3,5,0,0,5,2,1,301,0,0,0,0,0,0,0,0
347,6,1960,1960,30,3,3,1,4,1270,1478,5,1478,0,1478,2,3,6,2,4,5,1,2,498,0,40,0,0,0,0,0,0
348,7,2003,2004,106,4,4,1,6,573,764,5,764,862,1626,2,4,6,0,0,3,2,2,474,0,27,0,1,1,0,1,1
349,9,2005,2006,870,5,5,1,6,1410,1848,5,1848,880,2728,2,5,10,2,5,5,3,3,706,0,0,0,1,0,0,0,1
350,9,2007,2007,362,5,5,1,1,0,1869,5,1869,0,1869,2,5,6,1,4,5,2,2,617,210,54,0,1,0,0,0,1
351,7,1986,1986,0,3,4,4,6,1082,1453,4,1453,0,1453,1,4,6,1,3,5,2,2,445,0,80,0,0,0,0,0,1
352,5,1941,1950,0,3,3,2,2,236,616,3,616,495,1111,1,3,5,0,0,1,1,1,200,48,0,0,0,1,1,0,0
353,6,1928,2003,0,3,3,1,1,0,624,4,720,0,720,1,3,5,0,0,1,1,2,484,106,0,0,0,1,1,0,0
354,6,1940,2000,0,3,3,1,2,388,940,5,1192,403,1595,1,3,6,2,4,5,1,1,240,0,0,0,0,0,0,0,0
355,6,1995,1995,0,4,4,1,5,334,1200,5,1200,0,1200,2,4,6,0,0,5,2,2,521,0,26,0,0,1,1,0,1
356,6,1992,1992,106,3,4,1,6,560,1158,4,1167,0,1167,2,4,6,0,0,5,2,2,400,120,26,0,0,0,0,0,1
357,5,1976,1976,0,3,4,1,5,874,1142,3,1142,0,1142,1,3,6,1,1,5,3,2,528,536,90,0,0,0,0,0,1
358,5,1958,1958,120,3,3,3,4,300,1062,5,1352,0,1352,1,4,6,0,0,3,1,1,288,168,0,0,0,0,0,0,0
359,8,1998,1998,530,4,4,3,6,956,1086,5,1086,838,1924,2,4,7,1,3,5,2,2,592,208,75,1,0,1,1,0,1
360,6,1978,1978,0,3,4,3,6,773,888,5,912,0,912,1,3,5,1,3,5,2,2,470,0,0,0,0,1,1,0,0
361,5,1940,1982,0,3,3,1,3,399,883,4,988,517,1505,1,3,8,0,0,1,1,1,240,0,0,0,0,0,0,0,0
362,7,2003,2003,500,4,0,0,0,0,0,5,495,1427,1922,3,4,7,1,5,3,2,2,672,0,0,0,0,0,0,0,0
363,6,1972,2007,510,3,3,1,5,162,483,4,483,504,987,1,4,5,0,0,1,1,1,264,250,0,0,0,0,0,0,0
364,6,1976,1976,120,3,4,2,6,712,796,3,790,784,1574,2,3,6,1,3,5,3,2,566,306,111,0,0,0,0,0,1
365,5,1920,1997,0,3,3,1,3,456,672,4,672,672,1344,1,3,6,0,0,1,1,1,468,0,128,0,0,1,1,0,0
366,6,1963,1963,247,3,4,1,4,609,1394,4,1394,0,1394,1,3,6,2,4,5,2,2,514,0,76,0,0,0,0,0,0
367,6,1962,1962,305,3,4,4,6,371,1099,4,1431,0,1431,1,3,6,1,4,4,2,1,296,64,110,0,0,0,0,0,0
368,5,1954,1954,200,3,3,1,2,540,1268,4,1268,0,1268,1,3,7,1,4,5,3,1,244,0,98,0,0,0,0,0,1
369,5,1959,2006,0,3,3,1,5,72,1063,5,1287,0,1287,1,4,7,1,4,1,3,2,576,364,17,0,0,0,0,0,0
370,6,2000,2000,0,3,4,1,1,0,953,5,953,711,1664,2,3,7,1,3,5,2,2,460,100,40,0,0,1,1,0,1
371,4,1959,1959,0,3,0,0,0,0,0,3,1120,468,1588,2,3,7,1,4,1,3,2,680,0,59,0,0,0,0,0,0
372,6,1984,1984,0,3,4,1,5,623,744,3,752,0,752,1,3,4,0,0,5,1,1,264,353,0,0,0,0,0,0,0
373,5,1953,1953,0,3,3,1,4,428,608,3,1319,0,1319,1,3,5,0,0,5,1,1,270,66,0,0,0,0,0,0,1
374,7,2003,2004,0,4,4,1,1,0,847,5,847,1081,1928,2,4,8,1,4,3,3,2,434,100,48,0,0,1,1,0,1
375,1,1922,1950,0,2,2,4,4,350,683,4,904,0,904,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,5,1996,1996,0,4,4,3,6,298,870,5,914,0,914,1,3,5,0,0,1,1,2,576,0,0,0,0,1,1,0,1
377,8,2004,2005,0,4,4,1,1,0,1580,5,1580,886,2466,3,4,8,1,4,5,2,2,610,159,214,0,0,0,0,0,1
378,9,2010,2010,350,4,5,3,6,1445,1856,5,1856,0,1856,1,5,8,1,5,5,3,3,834,113,0,0,0,1,1,1,1
379,6,2000,2000,16,3,4,1,1,0,982,5,1007,793,1800,2,3,7,1,3,5,3,2,463,100,63,0,0,1,1,0,1
380,5,1924,1950,0,3,3,1,2,218,1026,3,1026,665,1691,2,4,6,1,4,1,1,1,308,0,0,0,0,0,0,0,0
381,7,2006,2006,0,4,4,1,1,0,1293,5,1301,0,1301,2,4,5,1,4,5,2,2,572,216,121,0,0,1,1,0,1
382,7,2006,2006,0,4,4,3,1,0,939,5,939,858,1797,2,4,8,0,0,5,2,2,639,144,53,0,0,1,1,0,1
383,6,1928,1950,0,3,2,1,1,0,784,3,784,0,784,1,3,5,0,0,1,1,2,360,0,0,0,0,0,0,0,0
384,6,1992,1992,0,4,4,3,6,985,1580,5,1079,874,1953,2,4,9,2,2,5,3,2,501,216,231,0,0,0,0,0,1
385,8,2004,2005,16,4,4,1,6,24,1256,5,1269,0,1269,2,4,6,1,3,5,3,2,430,146,20,0,0,1,1,0,1
386,5,1910,1996,0,3,3,1,1,0,658,3,658,526,1184,1,3,8,0,0,0,0,0,0,0,151,0,0,0,1,0,1
387,6,1976,1976,255,3,3,3,5,631,1041,5,1125,0,1125,1,3,6,1,2,1,1,1,352,296,0,0,0,0,0,0,0
388,7,1999,2000,125,4,4,1,1,0,1468,5,1479,0,1479,2,4,6,0,0,5,2,2,577,120,25,0,0,1,1,0,1
389,10,2007,2008,272,5,5,3,6,1280,1682,5,1742,590,2332,2,5,9,1,5,3,3,3,846,196,134,0,1,1,1,1,1
390,5,1900,1950,0,3,3,1,3,241,861,5,961,406,1367,1,3,7,0,0,1,1,1,384,0,130,0,0,0,0,0,0
391,6,2001,2002,0,3,5,1,5,690,804,5,804,1157,1961,2,4,7,1,3,3,3,2,560,125,192,0,0,1,1,0,1
392,5,1959,1959,0,3,0,0,0,0,0,3,882,0,882,1,3,5,0,0,5,2,1,294,0,0,0,0,0,0,0,0
393,4,1941,1950,0,3,3,1,3,266,788,3,788,0,788,1,3,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
394,5,1940,1950,0,3,3,1,1,0,735,4,735,299,1034,1,3,5,0,0,1,1,1,240,0,39,0,0,0,0,0,0
395,5,1956,1956,0,3,3,3,4,739,1144,3,1144,0,1144,1,3,6,0,0,5,1,1,596,44,0,0,0,0,0,0,0
396,5,1972,1972,0,3,3,3,3,777,894,3,894,0,894,1,3,6,0,0,1,2,2,600,215,0,0,0,0,0,0,0
397,5,1962,1962,288,3,3,1,5,540,864,3,876,936,1812,2,3,8,1,3,5,2,1,264,0,168,0,0,1,1,0,0
398,5,1920,1950,0,3,2,1,1,0,961,4,1077,0,1077,1,3,6,0,0,1,1,1,338,0,0,0,0,0,0,0,0
399,7,2006,2007,100,4,4,1,6,812,1092,5,1112,438,1550,2,4,7,0,0,5,3,2,438,0,168,0,0,0,0,1,1
